TITULO:,CATÁLOGO
EDICIONS DE LA UNIVERSITAT DE BARCELONA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDICIONS TRES I QUATRE,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDICIONS UIB – UNIVERSITAT DE LES ILLES BALEARS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDICIONS UNIVERSITAT AUTÒNOMA DE BARCELONA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDICIONS UNIVERSITAT DE BARCELONA,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EDICIOS CASTRO,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDINBURGH UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDINBURGH UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDIPUGLIA,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EDISOFER,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITION SIGMA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDITIONS DE L’ECOLE DES HAUTES ÉTUDES EN SCIENCES SOCIALES [EDITIONS EHESS],<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITIONS DU CERF,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITIONS ELSEVIER,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EDITIONS ESKA,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
"EDITIONS MERIDIENNES, UNIVERSITE TOULOUSE LE MIRAIL",<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ÉDITIONS ODILE JACOB,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITIONS RODOPI B V,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDITIONS RODOPI B.V.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EDITIONS TECHNIP,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDITORIAL A CONTRACORRIENTE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDITORIAL AC,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL ACTAS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL AFERS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL AULA MAGNA (MCGRAW HILL),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL BARCINO,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL BONAVENTURIANA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDITORIAL COLEX,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL DELIRIO,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL FUNDAMENTOS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL JURÍDICA CONTINENTAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL LOSADA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL MÉDICA PANAMERICANA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL NEREA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL REUS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL REVERTÉ,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL SAN ESTEBAN,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL SINDÉRESIS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL UCA. SERVICIO DE PUBLICACIONES DE LA UNIVERSIDAD DE CÁDIZ,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL UFV MADRID,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDITORIAL UNED,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL UNIV ABYA-YALA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDITORIAL UNIVERSIDAD DE ALCALÁ,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL UNIVERSIDAD DE ALMERÍA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL UNIVERSIDAD DE CANTABRIA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL UNIVERSIDAD DE GRANADA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL UNIVERSIDAD DE SEVILLA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL UNIVERSITARIA RAMÓN ARECES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL UNIVERSITAS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL UOC,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITORIAL UPTC-EDITORIAL UNIV PEDAGOGICA & TECNOLOGICA COLOMBIA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDITORIAL USACH,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDITORIALE SCIENTIFICA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITRICE ANTENORE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EDITRICE MORCELLIANA,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EDITUM. EDICIONES DE LA UNIVERSIDAD DE MURCIA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDITURA ARGONAUT,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDITURA CU/ART,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDITURA EXCELSIOR ART,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDITURA ION IONESCU BRAD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDIUNO. EDICIONES DE LA UNIVERSIDAD DE OVIEDO,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDIZIONI COMUNE DI MILANO AMICI DEL MUSEO DEL RISORGIMENTO,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EDIZIONI DEL’ORSO,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDIZIONI DELLA NORMALE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDIZIONI DI STORIA E LETTERATURA,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EDIZIONI GUERINI & ASSOC SPA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDIZIONI MINERVA MEDICA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDIZIONI QUASAR,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EDIZIONI QUASAR S TOGNON SRL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDIZIONI UNIVERSITARIE DI LETTERE ECONOMIA DIRITTO (LED),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDP SCIENCES,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EDP SCIENCES S A,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EDUPV. UNIVERSITADT POLITÈCNICA DE VALÈNCIA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDWARD ELGAR PUBLISHING,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EDWARD ELGAR PUBLISHING LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EESTI TEADUSTE AKADEEMIA,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EGREGIUS EDITORIAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EICK-VERLAG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EISENBRAUNS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EL DERECHO (LEFEBVRE),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ELECTA (MONDADORI),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ELSEVIER,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ELSEVIER,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ELSEVIER,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ELSEVIER ACADEMIC PRESS INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ELSEVIER BUTTERWORTH-HEINEMANN,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ELSEVIER BV,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ELSEVIER ESPAÑA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ELSEVIER INC.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ELSEVIER LIMITED,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ELSEVIER LTD,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ELSEVIER LTD.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ELSEVIER NORTH HOLLAND,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ELSEVIER NORTH HOLLAND,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ELSEVIER SCIENCE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ELSEVIER SCIENCE BV,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ELSEVIER SCIENCE INC.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
ELSEVIER SCIENCE LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ELSEVIER SCIENCE PUBLISHERS BV BIOMEDICAL DIVISION,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ELSEVIER SCIENTIFIC PUBL CO,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ELSEVIER/NORTH-HOLLAND,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EMBRAPA GADO LEITE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EMBRAPA SOJA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EMERALD,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EMERALD,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EMERALD GROUP HOLDINGS LTD.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EMERALD GROUP PUBLISHING LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EMERALD GROUP PUBLISHING LTD,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EMERALD GROUP PUBLISHING LTD.,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EMERALD PUBLISHING,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EMERALD PUBLISHING PUBLISHING,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
EMPIRE STATE EDITIONS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ENKE VERLAG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EOLAS EDICIONES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EOS PSICOLOGÍA (GIUNTI PSYSCHOMETRICS),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EPFL PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EQUILIBRIA SRO,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EQUINOX PUBLISHING LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ERGON VERLAG,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ERIC SCHMIDT VERLAG (ESV),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ERNST & SOHN VERLAG ARCHITEKTUR & TECHNISCHE WISSENSCHAFTEN GMBH & CO KG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ERRANCE,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ESA PUBLICATIONS DIVISION C/O ESTEC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ESFERA CAOS EDITORES LDA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
ESIC EDITORIAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ESPASA (GRUPO PLANETA),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
ETERNA CADENCIA EDITORA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EU PUBLICATIONS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EUMO EDITORIAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EUNSA. EDICIONES UNIVERSIDAD DE NAVARRA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EUROPAE ARCHAEOLOGIA CONSILIUM-EAC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EUROPEAN ASSOC GEOSCIENTISTS & ENGINEERS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EUROPEAN FOREST INSTITUTE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EUROPEAN LAW PUBLISHERS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
EUROPEAN MATHEMATICAL SOC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
EUROPEAN RESPIRATORY SOCIETY,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FAC ECONOMICS OSIJEK,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FALMER PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FAU UNIVERSITY PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
FB COMMUNICATION,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
FBCOMMUNICATION SRL,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
FELIX MEINER,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FELTRINELLI,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FERDINAND SCHONINGH,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FESTIVAL DE CINE ESPAÑOL DE MÁLAGA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FESTIVAL INTERNACIONAL DE CINE DE SAN SEBASTIÁN,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FILMOTECA DE CATALUNYA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FILMOTECA VALENCIANA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FILODIRITTO PUBLISHER,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FIM DE SECULO-EDICOES,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FINNISH SOCIETY OF FOREST SCIENCE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
FIRENZE UNIVERSITY PRESS (FUP),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FISHERIES & OCEAN CANADA & NATURAL RESOURCES CANADA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FLACSO MEXICO-FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FLAMMARION,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FLORISTISCH-SOZIOLOGISCHE ARBEITSGEMEINSCHAFT E V,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FOCAL PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FOCAL PRESS (ROUTLEDGE),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FONDO DE CULTURA ECONÓMICA (MÉXICO),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FONDO DE CULTURA ECONÓMICA DE ESPAÑA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FORDHAM UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FOREST HISTORY SOC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FORUM ITALICUM,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FOUQUE LITERATURVERLAG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FRAGUA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FRANCES LINCOLN,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FRANCO ANGELI,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FRANZ STEINER VERLAG,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
FRANZ STEINER VERLAG,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FRANZ STEINER VERLAG GMBH,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FRANZ STEINER VERLAG STUTTGART GMBH,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
FRANZ STEINER VERLAG WIESBADEN GMBH,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
FREUND PUBL HOUSE LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
FRONTIERS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FRONTIERS IN PSYCHOLOGY,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FUNDACIÓN BBVA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FUNDACIÓN DE INVESTIGACIONES MARXISTAS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FUNDACIÓN DE LAS CAJAS DE AHORROS (FUNCAS),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FUNDACIÓN FOESSA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FUNDACIÓN IBN TUFAYL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FUNDACIÓN NOTARIADO,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FUNDACIÓN RAMÓN ARECES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
FUNDACIÓN SANTA MARIA LA REAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
